"","year","First_Name","Last_Name","forum","race"
"40",2017,"Jorge","Nocedal","H1oyRlYgg","hispanic"
"41",2017,"Mikhail","Smelyanskiy","H1oyRlYgg","white"
"42",2017,"Ping","Tak Peter Tang","H1oyRlYgg","asian"
"43",2017,"Nicolas","Papernot","HkwoSDPgg","hispanic"
"44",2017,"Martín","Abadi","HkwoSDPgg","asian"
"45",2017,"Úlfar","Erlingsson","HkwoSDPgg","black"
"46",2017,"Ian","Goodfellow","HkwoSDPgg","white"
"47",2017,"Kunal","Talwar","HkwoSDPgg","asian"
"48",2017,"Casper","Kaae Sønderby","S1RP6GLle","asian"
"49",2017,"Jose","Caballero","S1RP6GLle","hispanic"
"50",2017,"Lucas","Theis","S1RP6GLle","black"
"51",2017,"Wenzhe","Shi","S1RP6GLle","asian"
"52",2017,"Ferenc","Huszár","S1RP6GLle","white"
"53",2017,"Daniel","D. Johnson","HJ0NvFzxl","white"
"54",2017,"Sergey","Zagoruyko","Sks9_ajex","white"
"55",2017,"Nikos","Komodakis","Sks9_ajex","white"
"56",2017,"Alex","X. Lee","r1YNw6sxg","hispanic"
"57",2017,"Sergey","Levine","r1YNw6sxg","white"
"58",2017,"Pieter","Abbeel","r1YNw6sxg","white"
"59",2017,"Carlos","Florensa","B1oK8aoxe","hispanic"
"60",2017,"Yan","Duan","B1oK8aoxe","asian"
"61",2017,"Pieter","Abbeel","B1oK8aoxe","white"
"62",2017,"George","Philipp","BJK3Xasel","white"
"63",2017,"Jaime","G. Carbonell","BJK3Xasel","hispanic"
"64",2017,"Jimmy","Ba","SkkTMpjex","asian"
"65",2017,"Roger","Grosse","SkkTMpjex","white"
"66",2017,"James","Martens","SkkTMpjex","white"
"67",2017,"Hao","Li","rJqFGTslg","asian"
"68",2017,"Asim","Kadav","rJqFGTslg","asian"
"69",2017,"Igor","Durdanovic","rJqFGTslg","hispanic"
"70",2017,"Hanan","Samet","rJqFGTslg","asian"
"71",2017,"Hans","Peter Graf","rJqFGTslg","black"
"72",2017,"Florian","Bordes","BJAFbaolg","hispanic"
"73",2017,"Sina","Honari","BJAFbaolg","asian"
"74",2017,"Pascal","Vincent","BJAFbaolg","black"
"75",2017,"Xingyi","Li","S1TER2oll","asian"
"76",2017,"Fuxin","Li","S1TER2oll","asian"
"77",2017,"Xiaoli","Fern","S1TER2oll","asian"
"78",2017,"Raviv","Raich","S1TER2oll","asian"
"79",2017,"Mengye","Ren","rk5upnsxe","asian"
"80",2017,"Renjie","Liao","rk5upnsxe","asian"
"81",2017,"Raquel","Urtasun","rk5upnsxe","hispanic"
"82",2017,"Fabian","H. Sinz","rk5upnsxe","hispanic"
"83",2017,"Richard","S. Zemel","rk5upnsxe","white"
"84",2017,"Eleanor","Batty","HkEI22jeg","white"
"85",2017,"Josh","Merel","HkEI22jeg","white"
"86",2017,"Nora","Brackbill","HkEI22jeg","black"
"87",2017,"Alexander","Heitman","HkEI22jeg","white"
"88",2017,"Alexander","Sher","HkEI22jeg","asian"
"89",2017,"Alan","Litke","HkEI22jeg","white"
"90",2017,"E.J.","Chichilnisky","HkEI22jeg","hispanic"
"91",2017,"Liam","Paninski","HkEI22jeg","white"
"92",2017,"David","Warde-Farley","S1X7nhsxl","white"
"93",2017,"Yoshua","Bengio","S1X7nhsxl","hispanic"
"94",2017,"Minmin","Chen","B1Igu2ogg","asian"
"95",2017,"Abhishek","Gupta","Hyq4yhile","asian"
"96",2017,"Coline","Devin","Hyq4yhile","white"
"97",2017,"YuXuan","Liu","Hyq4yhile","asian"
"98",2017,"Pieter","Abbeel","Hyq4yhile","white"
"99",2017,"Sergey","Levine","Hyq4yhile","white"
"100",2017,"Xingyu","Lin","B1gtu5ilg","asian"
"101",2017,"Hao","Wang","B1gtu5ilg","asian"
"102",2017,"Zhihao","Li","B1gtu5ilg","asian"
"103",2017,"Yimeng","Zhang","B1gtu5ilg","asian"
"104",2017,"Alan","Yuille","B1gtu5ilg","white"
"105",2017,"Tai","Sing Lee","B1gtu5ilg","asian"
"106",2017,"Ivan","Ustyuzhaninov *","BJhZeLsxx","hispanic"
"107",2017,"Wieland","Brendel *","BJhZeLsxx","hispanic"
"108",2017,"Leon","Gatys","BJhZeLsxx","black"
"109",2017,"Matthias","Bethge","BJhZeLsxx","black"
"110",2017,"Brian","Cheung","SJJKxrsgl","asian"
"111",2017,"Eric","Weiss","SJJKxrsgl","white"
"112",2017,"Bruno","Olshausen","SJJKxrsgl","white"
"113",2017,"Wentao","Huang","SkYbF1slg","asian"
"114",2017,"Kechen","Zhang","SkYbF1slg","asian"
"115",2017,"Tim","Salimans","BJrFC6ceg","asian"
"116",2017,"Andrej","Karpathy","BJrFC6ceg","asian"
"117",2017,"Xi","Chen","BJrFC6ceg","asian"
"118",2017,"Diederik","P. Kingma","BJrFC6ceg","asian"
"119",2017,"Tong","Che","HJKkY35le","asian"
"120",2017,"Yanran","Li","HJKkY35le","asian"
"121",2017,"Athul","Jacob","HJKkY35le","asian"
"122",2017,"Yoshua","Bengio","HJKkY35le","hispanic"
"123",2017,"Wenjie","Li","HJKkY35le","asian"
"124",2017,"Klaus","Greff","Skn9Shcxe","white"
"125",2017,"Rupesh","K. Srivastava","Skn9Shcxe","asian"
"126",2017,"Jürgen","Schmidhuber","Skn9Shcxe","hispanic"
"127",2017,"Edouard","Grave","B184E5qee","black"
"128",2017,"Armand","Joulin","B184E5qee","black"
"129",2017,"Nicolas","Usunier","B184E5qee","hispanic"
"130",2017,"Yaniv","Taigman","Sk2Im59ex","asian"
"131",2017,"Adam","Polyak","Sk2Im59ex","white"
"132",2017,"Lior","Wolf","Sk2Im59ex","white"
"133",2017,"Bradly","C Stadie","B16dGcqlx","white"
"134",2017,"Pieter","Abbeel","B16dGcqlx","white"
"135",2017,"Ilya","Sutskever","B16dGcqlx","white"
"136",2017,"Sanjay","Purushotham","rk9eAFcxg","asian"
"137",2017,"Wilka","Carvalho","rk9eAFcxg","hispanic"
"138",2017,"Tanachat","Nilanon","rk9eAFcxg","asian"
"139",2017,"Yan","Liu","rk9eAFcxg","asian"
"140",2017,"Pavol","Bielik","ry_sjFqgx","white"
"141",2017,"Veselin","Raychev","ry_sjFqgx","black"
"142",2017,"Martin","Vechev","ry_sjFqgx","white"
"143",2017,"Nicolas","Usunier","r1LXit5ee","hispanic"
"144",2017,"Gabriel","Synnaeve","r1LXit5ee","asian"
"145",2017,"Zeming","Lin","r1LXit5ee","asian"
"146",2017,"Soumith","Chintala","r1LXit5ee","asian"
"147",2017,"Karen","Ullrich","HJGwcKclx","white"
"148",2017,"Edward","Meeds","HJGwcKclx","white"
"149",2017,"Max","Welling","HJGwcKclx","white"
"150",2017,"Chengtao","Li","HJjiFK5gx","asian"
"151",2017,"Daniel","Tarlow","HJjiFK5gx","white"
"152",2017,"Alexander","L. Gaunt","HJjiFK5gx","hispanic"
"153",2017,"Marc","Brockschmidt","HJjiFK5gx","white"
"154",2017,"Nate","Kushman","HJjiFK5gx","asian"
"155",2017,"Mikael","Henaff","rJTKKKqeg","white"
"156",2017,"Jason","Weston","rJTKKKqeg","white"
"157",2017,"Arthur","Szlam","rJTKKKqeg","white"
"158",2017,"Antoine","Bordes","rJTKKKqeg","hispanic"
"159",2017,"Yann","LeCun","rJTKKKqeg","asian"
"160",2017,"Taco","S. Cohen","rJQKYt5ll","asian"
"161",2017,"Max","Welling","rJQKYt5ll","white"
"162",2017,"Xiaoxiao","Guo","rJ0-tY5xe","asian"
"163",2017,"Tim","Klinger","rJ0-tY5xe","white"
"164",2017,"Clemens","Rosenbaum","rJ0-tY5xe","white"
"165",2017,"Joseph","P. Bigus","rJ0-tY5xe","white"
"166",2017,"Murray","Campbell","rJ0-tY5xe","black"
"167",2017,"Ban","Kawas","rJ0-tY5xe","asian"
"168",2017,"Kartik","Talamadupula","rJ0-tY5xe","asian"
"169",2017,"Gerry","Tesauro","rJ0-tY5xe","asian"
"170",2017,"Satinder","  Singh","rJ0-tY5xe","asian"
"171",2017,"William","Lotter","B1ewdt9xe","white"
"172",2017,"Gabriel","Kreiman","B1ewdt9xe","white"
"173",2017,"David","Cox","B1ewdt9xe","white"
"174",2017,"Adriana","Romero","Sk-oDY9ge","hispanic"
"175",2017,"Pierre","Luc Carrier","Sk-oDY9ge","black"
"176",2017,"Akram","Erraqabi","Sk-oDY9ge","asian"
"177",2017,"Tristan","Sylvain","Sk-oDY9ge","black"
"178",2017,"Alex","Auvolat","Sk-oDY9ge","asian"
"179",2017,"Etienne","Dejoie","Sk-oDY9ge","black"
"180",2017,"Marc-André","Legault","Sk-oDY9ge","white"
"181",2017,"Marie-Pierre","Dubé","Sk-oDY9ge","asian"
"182",2017,"Julie","G. Hussin","Sk-oDY9ge","white"
"183",2017,"Yoshua","Bengio","Sk-oDY9ge","hispanic"
"184",2017,"Timothy","Dozat","Hk95PK9le","black"
"185",2017,"Christopher","D. Manning","Hk95PK9le","white"
"186",2017,"Ishaan","Gulrajani","BJKYvt5lg","asian"
"187",2017,"Kundan","Kumar","BJKYvt5lg","asian"
"188",2017,"Faruk","Ahmed","BJKYvt5lg","asian"
"189",2017,"Adrien","Ali Taiga","BJKYvt5lg","asian"
"190",2017,"Francesco","Visin","BJKYvt5lg","white"
"191",2017,"David","Vazquez","BJKYvt5lg","hispanic"
"192",2017,"Aaron","Courville","BJKYvt5lg","black"
"193",2017,"Gao","Huang","BJYwwY9ll","asian"
"194",2017,"Yixuan","Li","BJYwwY9ll","asian"
"195",2017,"Geoff","Pleiss","BJYwwY9ll","white"
"196",2017,"Zhuang","Liu","BJYwwY9ll","asian"
"197",2017,"John","E. Hopcroft","BJYwwY9ll","white"
"198",2017,"Kilian","Q. Weinberger","BJYwwY9ll","white"
"199",2017,"Yuxin","Wu","Hk3mPK5gg","asian"
"200",2017,"Yuandong","Tian","Hk3mPK5gg","asian"
"201",2017,"Emilio","Parisotto","rJ0JwFcex","hispanic"
"202",2017,"Abdel-rahman","Mohamed","rJ0JwFcex","asian"
"203",2017,"Rishabh","Singh","rJ0JwFcex","asian"
"204",2017,"Lihong","Li","rJ0JwFcex","asian"
"205",2017,"Dengyong","Zhou","rJ0JwFcex","asian"
"206",2017,"Pushmeet","Kohli","rJ0JwFcex","asian"
"207",2017,"Ruben","Villegas","rkEFLFqee","hispanic"
"208",2017,"Jimei","Yang","rkEFLFqee","asian"
"209",2017,"Seunghoon","Hong","rkEFLFqee","asian"
"210",2017,"Xunyu","Lin","rkEFLFqee","asian"
"211",2017,"Honglak","Lee","rkEFLFqee","asian"
"212",2017,"Harrison","Edwards","HJDBUF5le","black"
"213",2017,"Amos","Storkey","HJDBUF5le","black"
"214",2017,"Dougal","J. Sutherland","HJWHIKqgl","asian"
"215",2017,"Hsiao-Yu","Tung","HJWHIKqgl","asian"
"216",2017,"Heiko","Strathmann","HJWHIKqgl","asian"
"217",2017,"Soumyajit","De","HJWHIKqgl","asian"
"218",2017,"Aaditya","Ramdas","HJWHIKqgl","asian"
"219",2017,"Alex","Smola","HJWHIKqgl","white"
"220",2017,"Arthur","Gretton","HJWHIKqgl","black"
"221",2017,"Chelsea","Finn","ryHlUtqge","white"
"222",2017,"Tianhe","Yu","ryHlUtqge","asian"
"223",2017,"Justin","Fu","ryHlUtqge","asian"
"224",2017,"Pieter","Abbeel","ryHlUtqge","white"
"225",2017,"Sergey","Levine","ryHlUtqge","white"
"226",2017,"Aaron","Klein","S11KBYclx","white"
"227",2017,"Stefan","Falkner","S11KBYclx","black"
"228",2017,"Jost","Tobias Springenberg","S11KBYclx","hispanic"
"229",2017,"Frank","Hutter","S11KBYclx","white"
"230",2017,"Ke","Li","ry4Vrt5gl","asian"
"231",2017,"Jitendra","Malik","ry4Vrt5gl","asian"
"232",2017,"Shuohang","Wang","HJTzHtqee","asian"
"233",2017,"Jing","Jiang","HJTzHtqee","asian"
"234",2017,"Ziang","Xie","H1VyHY9gg","asian"
"235",2017,"Sida","I. Wang","H1VyHY9gg","asian"
"236",2017,"Jiwei","Li","H1VyHY9gg","asian"
"237",2017,"Daniel","Lévy","H1VyHY9gg","white"
"238",2017,"Aiming","Nie","H1VyHY9gg","asian"
"239",2017,"Dan","Jurafsky","H1VyHY9gg","white"
"240",2017,"Andrew","Y. Ng","H1VyHY9gg","asian"
"241",2017,"Shengjie","Wang","Hku9NK5lx","asian"
"242",2017,"Haoran","Cai","Hku9NK5lx","asian"
"243",2017,"Jeff","Bilmes","Hku9NK5lx","black"
"244",2017,"William","Noble","Hku9NK5lx","white"
"245",2017,"Akash","Srivastava","BybtVK9lg","asian"
"246",2017,"Charles","Sutton","BybtVK9lg","white"
"247",2017,"Akshay","Balsubramani","ryelgY5eg","asian"
"248",2017,"Yuhuai","Wu","B1M8JF9xx","asian"
"249",2017,"Yuri","Burda","B1M8JF9xx","asian"
"250",2017,"Ruslan","Salakhutdinov","B1M8JF9xx","asian"
"251",2017,"Roger","Grosse","B1M8JF9xx","white"
"252",2017,"Chenzhuo","Zhu","S1_pAu9xl","asian"
"253",2017,"Song","Han","S1_pAu9xl","asian"
"254",2017,"Huizi","Mao","S1_pAu9xl","asian"
"255",2017,"William","J. Dally","S1_pAu9xl","white"
"256",2017,"Song","Han","HyoST_9xl","asian"
"257",2017,"Jeff","Pool","HyoST_9xl","asian"
"258",2017,"Sharan","Narang","HyoST_9xl","asian"
"259",2017,"Huizi","Mao","HyoST_9xl","asian"
"260",2017,"Enhao","Gong","HyoST_9xl","asian"
"261",2017,"Shijian","Tang","HyoST_9xl","asian"
"262",2017,"Erich","Elsen","HyoST_9xl","white"
"263",2017,"Peter","Vajda","HyoST_9xl","asian"
"264",2017,"Manohar","Paluri","HyoST_9xl","asian"
"265",2017,"John","Tran","HyoST_9xl","asian"
"266",2017,"Bryan","Catanzaro","HyoST_9xl","hispanic"
"267",2017,"William","J. Dally","HyoST_9xl","white"
"268",2017,"Michael","Chang","Bkab5dqxe","asian"
"269",2017,"Tomer","Ullman","Bkab5dqxe","white"
"270",2017,"Antonio","Torralba","Bkab5dqxe","hispanic"
"271",2017,"Joshua","Tenenbaum","Bkab5dqxe","white"
"272",2017,"Lukasz","Kaiser","SJTQLdqlg","white"
"273",2017,"Ofir","Nachum","SJTQLdqlg","asian"
"274",2017,"Aurko","Roy","SJTQLdqlg","asian"
"275",2017,"Samy","Bengio","SJTQLdqlg","asian"
"276",2017,"Zhilin","Yang","ByxpMd9lx","asian"
"277",2017,"Ruslan","Salakhutdinov","ByxpMd9lx","asian"
"278",2017,"William","W. Cohen","ByxpMd9lx","white"
"279",2017,"Zhilin","Yang","B1hdzd5lg","asian"
"280",2017,"Bhuwan","Dhingra","B1hdzd5lg","asian"
"281",2017,"Ye","Yuan","B1hdzd5lg","asian"
"282",2017,"Junjie","Hu","B1hdzd5lg","asian"
"283",2017,"William","W. Cohen","B1hdzd5lg","white"
"284",2017,"Ruslan","Salakhutdinov","B1hdzd5lg","asian"
"285",2017,"Sanjeev","Arora","SyK00v5xx","asian"
"286",2017,"Yingyu","Liang","SyK00v5xx","asian"
"287",2017,"Tengyu","Ma","SyK00v5xx","asian"
"288",2017,"Jasmine","Collins","BydARw9ex","black"
"289",2017,"Jascha","Sohl-Dickstein","BydARw9ex","asian"
"290",2017,"David","Sussillo","BydARw9ex","hispanic"
"291",2017,"Misha","Denil","r1nTpv9eg","black"
"292",2017,"Pulkit","Agrawal","r1nTpv9eg","asian"
"293",2017,"Tejas","D Kulkarni","r1nTpv9eg","asian"
"294",2017,"Tom","Erez","r1nTpv9eg","hispanic"
"295",2017,"Peter","Battaglia","r1nTpv9eg","white"
"296",2017,"Nando","de Freitas","r1nTpv9eg","hispanic"
"297",2017,"Ofir","Nachum","ryT4pvqll","asian"
"298",2017,"Mohammad","Norouzi","ryT4pvqll","asian"
"299",2017,"Dale","Schuurmans","ryT4pvqll","white"
"300",2017,"Moshe","Looks","ryrGawqex","black"
"301",2017,"Marcello","Herreshoff","ryrGawqex","hispanic"
"302",2017,"DeLesley","Hutchins","ryrGawqex","white"
"303",2017,"Peter","Norvig","ryrGawqex","white"
"304",2017,"Zihang","Dai","SyxeqhP9ll","asian"
"305",2017,"Amjad","Almahairi","SyxeqhP9ll","asian"
"306",2017,"Philip","Bachman","SyxeqhP9ll","white"
"307",2017,"Eduard","Hovy","SyxeqhP9ll","black"
"308",2017,"Aaron","Courville","SyxeqhP9ll","black"
"309",2017,"Pavlo","Molchanov","SJGCiw5gl","hispanic"
"310",2017,"Stephen","Tyree","SJGCiw5gl","white"
"311",2017,"Tero","Karras","SJGCiw5gl","white"
"312",2017,"Timo","Aila","SJGCiw5gl","asian"
"313",2017,"Jan","Kautz","SJGCiw5gl","white"
"314",2017,"Minjoon","Seo","B1MRcPclx","asian"
"315",2017,"Sewon","Min","B1MRcPclx","asian"
"316",2017,"Ali","Farhadi","B1MRcPclx","asian"
"317",2017,"Hannaneh","Hajishirzi","B1MRcPclx","asian"
"318",2017,"Bowen","Baker","S1c2cvqee","black"
"319",2017,"Otkrist","Gupta","S1c2cvqee","asian"
"320",2017,"Nikhil","Naik","S1c2cvqee","asian"
"321",2017,"Ramesh","Raskar","S1c2cvqee","asian"
"322",2017,"Shuohang","Wang","B1-q5Pqxl","asian"
"323",2017,"Jing","Jiang","B1-q5Pqxl","asian"
"324",2017,"Tian","Zhao","Bks8cPcxe","asian"
"325",2017,"Xiao","Bing Huang","Bks8cPcxe","asian"
"326",2017,"Yu","Cao","Bks8cPcxe","asian"
"327",2017,"Minjoon","Seo","HJ0UKP9ge","asian"
"328",2017,"Aniruddha","Kembhavi","HJ0UKP9ge","asian"
"329",2017,"Ali","Farhadi","HJ0UKP9ge","asian"
"330",2017,"Hannaneh","Hajishirzi","HJ0UKP9ge","asian"
"331",2017,"Guillaume","Berger","HyGTuv9eg","white"
"332",2017,"Roland","Memisevic","HyGTuv9eg","white"
"333",2017,"Caiming","Xiong","rJeKjwvclx","asian"
"334",2017,"Victor","Zhong","rJeKjwvclx","asian"
"335",2017,"Richard","Socher","rJeKjwvclx","white"
"336",2017,"Soroush","Mehri","SkxKPDv5xl","asian"
"337",2017,"Kundan","Kumar","SkxKPDv5xl","asian"
"338",2017,"Ishaan","Gulrajani","SkxKPDv5xl","asian"
"339",2017,"Rithesh","Kumar","SkxKPDv5xl","asian"
"340",2017,"Shubham","Jain","SkxKPDv5xl","asian"
"341",2017,"Jose","Sotelo","SkxKPDv5xl","hispanic"
"342",2017,"Aaron","Courville","SkxKPDv5xl","black"
"343",2017,"Yoshua","Bengio","SkxKPDv5xl","hispanic"
"344",2017,"Jessica","B. Hamrick","Bk8BvDqex","white"
"345",2017,"Andrew","J. Ballard","Bk8BvDqex","white"
"346",2017,"Razvan","Pascanu","Bk8BvDqex","asian"
"347",2017,"Oriol","Vinyals","Bk8BvDqex","black"
"348",2017,"Nicolas","Heess","Bk8BvDqex","white"
"349",2017,"Peter","W. Battaglia","Bk8BvDqex","white"
"350",2017,"Sharan","Narang","BylSPv9gx","asian"
"351",2017,"Greg","Diamos","BylSPv9gx","asian"
"352",2017,"Shubho","Sengupta","BylSPv9gx","asian"
"353",2017,"Erich","Elsen","BylSPv9gx","white"
"354",2017,"Lucas","Theis","rJiNwv9gg","black"
"355",2017,"Wenzhe","Shi","rJiNwv9gg","asian"
"356",2017,"Andrew","Cunningham","rJiNwv9gg","white"
"357",2017,"Ferenc","Huszár","rJiNwv9gg","white"
"358",2017,"Yoon","Kim","HkE0Nvqlg","asian"
"359",2017,"Carl","Denton","HkE0Nvqlg","white"
"360",2017,"Luong","Hoang","HkE0Nvqlg","asian"
"361",2017,"Alexander","M. Rush","HkE0Nvqlg","white"
"362",2017,"David","Krueger","rJqBEPcxe","white"
"363",2017,"Tegan","Maharaj","rJqBEPcxe","asian"
"364",2017,"Janos","Kramar","rJqBEPcxe","white"
"365",2017,"Mohammad","Pezeshki","rJqBEPcxe","asian"
"366",2017,"Nicolas","Ballas","rJqBEPcxe","hispanic"
"367",2017,"Nan","Rosemary Ke","rJqBEPcxe","asian"
"368",2017,"Anirudh"," Goyal","rJqBEPcxe","asian"
"369",2017,"Yoshua","Bengio","rJqBEPcxe","hispanic"
"370",2017,"Aaron","Courville","rJqBEPcxe","black"
"371",2017,"Christopher","Pal","rJqBEPcxe","hispanic"
"372",2017,"Dustin","Tran","Hy6b4Pqee","asian"
"373",2017,"Matthew","D. Hoffman","Hy6b4Pqee","white"
"374",2017,"Rif","A. Saurous","Hy6b4Pqee","asian"
"375",2017,"Eugene","Brevdo","Hy6b4Pqee","hispanic"
"376",2017,"Kevin","Murphy","Hy6b4Pqee","white"
"377",2017,"David","M. Blei","Hy6b4Pqee","white"
"378",2017,"Jianwei","Yang","HJ1kmv9xx","asian"
"379",2017,"Anitha","Kannan","HJ1kmv9xx","asian"
"380",2017,"Dhruv","Batra","HJ1kmv9xx","asian"
"381",2017,"Devi","Parikh","HJ1kmv9xx","asian"
"382",2017,"Xi","Chen","BysvGP5ee","asian"
"383",2017,"Diederik","P. Kingma","BysvGP5ee","asian"
"384",2017,"Tim","Salimans","BysvGP5ee","asian"
"385",2017,"Yan","Duan","BysvGP5ee","asian"
"386",2017,"Prafulla","Dhariwal","BysvGP5ee","asian"
"387",2017,"John","Schulman","BysvGP5ee","white"
"388",2017,"Ilya","Sutskever","BysvGP5ee","white"
"389",2017,"Pieter","Abbeel","BysvGP5ee","white"
"390",2017,"Thomas","Laurent","S1dIzvclg","black"
"391",2017,"James","von Brecht","S1dIzvclg","white"
"392",2017,"Noam","Shazeer","B1ckMDqlg","asian"
"393",2017,"*Azalia","Mirhoseini","B1ckMDqlg","asian"
"394",2017,"*Krzysztof","Maziarz","B1ckMDqlg","white"
"395",2017,"Andy","Davis","B1ckMDqlg","black"
"396",2017,"Quoc","Le","B1ckMDqlg","asian"
"397",2017,"Geoffrey","Hinton","B1ckMDqlg","white"
"398",2017,"Jeff","Dean","B1ckMDqlg","white"
"399",2017,"David","Alvarez-Melis","HkYhZDqxg","hispanic"
"400",2017,"Tommi","S. Jaakkola","HkYhZDqxg","white"
"401",2017,"Abhishek","Sinha","Hkg8bDqee","asian"
"402",2017,"Aahitagni","Mukherjee","Hkg8bDqee","asian"
"403",2017,"Mausoom","Sarkar","Hkg8bDqee","asian"
"404",2017,"Balaji","Krishnamurthy","Hkg8bDqee","asian"
"405",2017,"Lisha","Li","ry18Ww5ee","asian"
"406",2017,"Kevin","Jamieson","ry18Ww5ee","black"
"407",2017,"Giulia","DeSalvo","ry18Ww5ee","asian"
"408",2017,"Afshin","Rostamizadeh","ry18Ww5ee","asian"
"409",2017,"Ameet","Talwalkar","ry18Ww5ee","asian"
"410",2017,"Greg","Yang","Byiy-Pqlx","asian"
"411",2017,"Alexander","Rush","Byiy-Pqlx","black"
"412",2017,"James","Bradbury","H1zJ-v5xl","white"
"413",2017,"Stephen","Merity","H1zJ-v5xl","white"
"414",2017,"Caiming","Xiong","H1zJ-v5xl","asian"
"415",2017,"Richard","Socher","H1zJ-v5xl","white"
"416",2017,"Silvia","Chiappa","B1s6xvqlx","hispanic"
"417",2017,"Sébastien","Racaniere","B1s6xvqlx","asian"
"418",2017,"Daan","Wierstra","B1s6xvqlx","white"
"419",2017,"Shakir","Mohamed","B1s6xvqlx","asian"
"420",2017,"Aravind","Rajeswaran","SyWvgP5el","asian"
"421",2017,"Sarvjeet","Ghotra","SyWvgP5el","asian"
"422",2017,"Balaraman","Ravindran","SyWvgP5el","asian"
"423",2017,"Sergey","Levine","SyWvgP5el","white"
"424",2017,"Janarthanan","Rajendran","Sy6iJDqlx","asian"
"425",2017,"Aravind","Lakshminarayanan","Sy6iJDqlx","asian"
"426",2017,"Mitesh","M. Khapra","Sy6iJDqlx","asian"
"427",2017,"Prasanna","P","Sy6iJDqlx","asian"
"428",2017,"Balaraman","Ravindran","Sy6iJDqlx","asian"
"429",2017,"Wanjia","He","rJxDkvqee","asian"
"430",2017,"Weiran","Wang","rJxDkvqee","asian"
"431",2017,"Karen","Livescu","rJxDkvqee","white"
"432",2017,"John","Thickstun","rkFBJv9gg","white"
"433",2017,"Zaid","Harchaoui","rkFBJv9gg","asian"
"434",2017,"Sham","Kakade","rkFBJv9gg","asian"
"435",2017,"Dan","Hendrycks","Hkg4TI9xl","white"
"436",2017,"Kevin","Gimpel","Hkg4TI9xl","white"
"437",2017,"Rudy","Bunel","r1rz6U5lg","hispanic"
"438",2017,"Alban","Desmaison","r1rz6U5lg","white"
"439",2017,"M.","Pawan Kumar","r1rz6U5lg","asian"
"440",2017,"Philip","H.S. Torr","r1rz6U5lg","asian"
"441",2017,"Pushmeet","Kohli","r1rz6U5lg","asian"
"442",2017,"Leonard","Berrada","By5e2L9gl","hispanic"
"443",2017,"Andrew","Zisserman","By5e2L9gl","white"
"444",2017,"M.","Pawan Kumar","By5e2L9gl","asian"
"445",2017,"Peter","O'Connor","HkNRsU5ge","white"
"446",2017,"Max","Welling","HkNRsU5ge","white"
"447",2017,"Zhouhan","Lin","BJC_jUqxe","asian"
"448",2017,"Minwei","Feng","BJC_jUqxe","asian"
"449",2017,"Cicero","Nogueira dos Santos","BJC_jUqxe","hispanic"
"450",2017,"Mo","Yu","BJC_jUqxe","asian"
